ad_view_id,user_id,placement,ts,reward_claimed
ad000000001,u000001,post_fail_reward,2026-08-28 21:17:13,1
ad000000002,u000001,post_fail_reward,2026-08-28 21:18:49,1
ad000000003,u000002,post_fail_reward,2026-08-23 22:31:59,1
ad000000004,u000004,post_fail_reward,2026-08-15 16:09:43,1
ad000000005,u000004,post_fail_reward,2026-08-15 08:31:19,1
ad000000006,u000004,post_fail_reward,2026-08-15 08:32:28,1
ad000000007,u000005,post_fail_reward,2026-09-02 19:18:38,1
ad000000008,u000005,post_fail_reward,2026-09-03 19:57:12,1
ad000000009,u000005,post_fail_reward,2026-09-03 19:33:58,1
ad000000010,u000005,post_fail_reward,2026-09-03 19:35:07,1
ad000000011,u000005,post_fail_reward,2026-09-03 19:36:30,1
ad000000012,u000005,post_fail_reward,2026-09-03 19:40:51,1
ad000000013,u000005,post_fail_reward,2026-09-04 19:02:22,1
ad000000014,u000005,post_fail_reward,2026-09-05 19:17:28,1
ad000000015,u000005,post_fail_reward,2026-09-05 19:19:38,1
ad000000016,u000005,post_fail_reward,2026-09-07 00:19:12,1
ad000000017,u000005,post_fail_reward,2026-09-07 19:42:17,1
ad000000018,u000005,post_fail_reward,2026-09-07 19:44:24,1
ad000000019,u000005,post_fail_reward,2026-09-08 00:22:50,0
ad000000020,u000005,post_fail_reward,2026-09-08 00:24:14,1
ad000000021,u000005,post_fail_reward,2026-09-08 00:28:07,1
ad000000022,u000005,post_fail_reward,2026-09-08 00:29:36,1
ad000000023,u000005,post_fail_reward,2026-09-08 19:46:40,1
ad000000024,u000005,post_fail_reward,2026-09-08 19:49:09,1
ad000000025,u000005,post_fail_reward,2026-09-09 00:17:41,1
ad000000026,u000005,post_fail_reward,2026-09-09 19:33:42,1
ad000000027,u000005,post_fail_reward,2026-09-09 19:38:51,1
ad000000028,u000005,post_fail_reward,2026-09-11 20:08:21,1
ad000000029,u000005,post_fail_reward,2026-09-12 03:33:41,1
ad000000030,u000005,post_fail_reward,2026-09-12 03:35:07,1
ad000000031,u000005,post_fail_reward,2026-09-12 03:36:37,1
ad000000032,u000005,post_fail_reward,2026-09-12 19:55:26,1
ad000000033,u000005,post_fail_reward,2026-09-13 20:04:19,1
ad000000034,u000005,post_fail_reward,2026-09-13 20:06:38,1
ad000000035,u000006,post_fail_reward,2026-08-30 18:45:02,1
ad000000036,u000006,post_fail_reward,2026-08-30 20:23:47,1
ad000000037,u000006,post_fail_reward,2026-08-30 20:24:51,1
ad000000038,u000008,post_fail_reward,2026-08-16 13:22:17,1
ad000000039,u000008,post_fail_reward,2026-08-17 11:24:15,1
ad000000040,u000008,post_fail_reward,2026-08-17 11:25:39,1
ad000000041,u000008,post_fail_reward,2026-08-17 11:45:58,1
ad000000042,u000008,post_fail_reward,2026-08-17 11:48:38,1
ad000000043,u000008,post_fail_reward,2026-08-18 11:22:40,1
ad000000044,u000008,post_fail_reward,2026-08-18 11:23:49,1
ad000000045,u000008,post_fail_reward,2026-08-18 19:32:29,1
ad000000046,u000008,post_fail_reward,2026-08-19 11:58:35,1
ad000000047,u000008,post_fail_reward,2026-08-19 12:01:38,1
ad000000048,u000008,post_fail_reward,2026-08-21 11:15:59,1
ad000000049,u000008,post_fail_reward,2026-08-22 11:42:57,1
ad000000050,u000008,post_fail_reward,2026-08-25 11:58:34,1
ad000000051,u000008,post_fail_reward,2026-08-25 12:04:17,0
ad000000052,u000008,post_fail_reward,2026-08-25 11:25:27,1
ad000000053,u000008,post_fail_reward,2026-08-26 13:18:35,1
ad000000054,u000008,post_fail_reward,2026-08-26 13:20:19,1
ad000000055,u000008,post_fail_reward,2026-08-26 13:27:46,1
ad000000056,u000008,post_fail_reward,2026-08-27 11:52:51,1
ad000000057,u000008,post_fail_reward,2026-08-28 13:15:20,1
ad000000058,u000008,post_fail_reward,2026-08-28 13:19:16,1
ad000000059,u000008,post_fail_reward,2026-08-29 11:34:13,1
ad000000060,u000008,post_fail_reward,2026-08-29 11:37:31,0
ad000000061,u000008,post_fail_reward,2026-08-30 11:58:34,1
ad000000062,u000008,post_fail_reward,2026-08-30 12:00:59,0
ad000000063,u000008,post_fail_reward,2026-08-30 16:04:41,1
ad000000064,u000008,post_fail_reward,2026-08-30 16:07:11,0
ad000000065,u000008,post_fail_reward,2026-08-30 11:12:16,0
ad000000066,u000008,post_fail_reward,2026-08-31 11:53:36,1
ad000000067,u000008,post_fail_reward,2026-08-31 11:12:43,1
ad000000068,u000008,post_fail_reward,2026-08-31 11:13:56,1
ad000000069,u000008,post_fail_reward,2026-08-31 11:15:59,1
ad000000070,u000008,post_fail_reward,2026-08-31 11:17:08,1
ad000000071,u000008,post_fail_reward,2026-09-01 11:27:50,1
ad000000072,u000008,post_fail_reward,2026-09-01 11:38:03,1
ad000000073,u000008,post_fail_reward,2026-09-01 11:41:26,1
ad000000074,u000008,post_fail_reward,2026-09-02 11:32:05,1
ad000000075,u000008,post_fail_reward,2026-09-02 11:33:28,1
ad000000076,u000008,post_fail_reward,2026-09-02 19:25:24,1
ad000000077,u000008,post_fail_reward,2026-09-02 19:31:56,1
ad000000078,u000008,post_fail_reward,2026-09-03 11:09:26,1
ad000000079,u000008,post_fail_reward,2026-09-03 11:11:24,1
ad000000080,u000008,post_fail_reward,2026-09-04 11:53:19,1
ad000000081,u000008,post_fail_reward,2026-09-04 11:54:17,1
ad000000082,u000008,post_fail_reward,2026-09-05 11:03:24,1
ad000000083,u000008,post_fail_reward,2026-09-06 11:58:01,1
ad000000084,u000008,post_fail_reward,2026-09-06 12:03:02,1
ad000000085,u000008,post_fail_reward,2026-09-06 12:07:20,1
ad000000086,u000008,post_fail_reward,2026-09-07 11:42:13,0
ad000000087,u000008,post_fail_reward,2026-09-07 11:44:58,0
ad000000088,u000008,post_fail_reward,2026-09-07 11:46:25,1
ad000000089,u000008,post_fail_reward,2026-09-07 11:49:06,1
ad000000090,u000008,post_fail_reward,2026-09-07 16:45:52,1
ad000000091,u000008,post_fail_reward,2026-09-07 11:43:02,0
ad000000092,u000008,post_fail_reward,2026-09-07 11:45:38,1
ad000000093,u000008,post_fail_reward,2026-09-08 11:57:56,1
ad000000094,u000008,post_fail_reward,2026-09-10 11:56:07,1
ad000000095,u000008,post_fail_reward,2026-09-11 11:11:05,0
ad000000096,u000008,post_fail_reward,2026-09-12 12:00:10,0
ad000000097,u000008,post_fail_reward,2026-09-12 12:06:16,1
ad000000098,u000008,post_fail_reward,2026-09-12 22:26:34,1
ad000000099,u000008,post_fail_reward,2026-09-12 22:33:51,1
ad000000100,u000008,post_fail_reward,2026-09-12 22:36:02,1
ad000000101,u000008,post_fail_reward,2026-09-12 22:37:14,0
ad000000102,u000008,post_fail_reward,2026-09-12 13:04:37,1
ad000000103,u000009,post_fail_reward,2026-08-20 19:46:48,0
ad000000104,u000010,post_fail_reward,2026-08-31 14:00:54,1
ad000000105,u000010,post_fail_reward,2026-08-31 21:32:29,1
ad000000106,u000012,post_fail_reward,2026-09-06 10:03:42,1
ad000000107,u000012,post_fail_reward,2026-09-07 08:12:14,1
ad000000108,u000012,post_fail_reward,2026-09-08 08:49:52,1
ad000000109,u000012,post_fail_reward,2026-09-09 08:21:27,1
ad000000110,u000012,post_fail_reward,2026-09-10 08:54:10,1
ad000000111,u000012,post_fail_reward,2026-09-11 08:04:06,1
ad000000112,u000012,post_fail_reward,2026-09-11 08:05:51,1
ad000000113,u000012,post_fail_reward,2026-09-12 08:05:34,1
ad000000114,u000012,post_fail_reward,2026-09-12 08:08:04,1
ad000000115,u000012,post_fail_reward,2026-09-13 08:50:15,1
ad000000116,u000014,post_fail_reward,2026-09-05 22:05:03,1
ad000000117,u000014,post_fail_reward,2026-09-06 08:38:46,1
ad000000118,u000015,post_fail_reward,2026-09-01 04:22:09,1
ad000000119,u000015,post_fail_reward,2026-09-01 04:23:18,1
ad000000120,u000015,post_fail_reward,2026-09-03 01:33:33,1
ad000000121,u000015,post_fail_reward,2026-09-03 20:55:29,0
ad000000122,u000015,post_fail_reward,2026-09-04 20:42:33,1
ad000000123,u000016,post_fail_reward,2026-08-20 16:45:02,1
ad000000124,u000016,post_fail_reward,2026-08-20 16:46:53,0
ad000000125,u000016,post_fail_reward,2026-08-21 21:41:06,1
ad000000126,u000016,post_fail_reward,2026-08-23 16:05:40,0
ad000000127,u000016,post_fail_reward,2026-08-23 16:12:22,1
ad000000128,u000017,post_fail_reward,2026-08-20 21:20:31,1
ad000000129,u000017,post_fail_reward,2026-08-22 21:40:34,1
ad000000130,u000017,post_fail_reward,2026-08-22 21:44:53,1
ad000000131,u000017,post_fail_reward,2026-08-25 21:22:08,1
ad000000132,u000017,post_fail_reward,2026-08-27 21:10:11,1
ad000000133,u000017,post_fail_reward,2026-08-28 21:55:54,1
ad000000134,u000017,post_fail_reward,2026-08-28 21:57:10,1
ad000000135,u000019,post_fail_reward,2026-08-23 16:02:00,1
ad000000136,u000020,post_fail_reward,2026-09-07 07:22:21,1
ad000000137,u000020,post_fail_reward,2026-09-07 20:06:14,1
ad000000138,u000020,post_fail_reward,2026-09-08 01:25:36,1
ad000000139,u000020,post_fail_reward,2026-09-08 01:27:12,1
ad000000140,u000020,post_fail_reward,2026-09-08 01:28:55,1
ad000000141,u000020,post_fail_reward,2026-09-09 20:35:58,1
ad000000142,u000020,post_fail_reward,2026-09-13 20:55:49,0
ad000000143,u000020,post_fail_reward,2026-09-13 20:59:01,1
ad000000144,u000025,post_fail_reward,2026-08-30 12:47:57,1
ad000000145,u000026,post_fail_reward,2026-08-24 17:33:21,1
ad000000146,u000026,post_fail_reward,2026-08-24 17:39:54,1
ad000000147,u000026,post_fail_reward,2026-08-25 17:50:53,1
ad000000148,u000028,post_fail_reward,2026-08-24 21:32:31,1
ad000000149,u000028,post_fail_reward,2026-08-24 21:35:42,1
ad000000150,u000028,post_fail_reward,2026-08-24 21:43:08,1
ad000000151,u000028,post_fail_reward,2026-08-24 21:44:23,0
ad000000152,u000028,post_fail_reward,2026-08-24 21:45:33,1
ad000000153,u000028,post_fail_reward,2026-08-24 21:49:14,1
ad000000154,u000029,post_fail_reward,2026-08-17 16:11:21,1
ad000000155,u000030,post_fail_reward,2026-08-23 00:42:18,1
ad000000156,u000030,post_fail_reward,2026-08-23 19:38:39,1
ad000000157,u000030,post_fail_reward,2026-08-24 19:46:27,1
ad000000158,u000030,post_fail_reward,2026-08-24 19:49:41,1
ad000000159,u000030,post_fail_reward,2026-08-25 19:56:45,0
ad000000160,u000030,post_fail_reward,2026-08-26 19:41:39,1
ad000000161,u000030,post_fail_reward,2026-08-27 03:43:49,0
