attempt_id,user_id,session_id,level_id,result,duration_sec,boosters_used,ts
a000000001,u000001,s00000001,1,clear,123,0,2026-08-28 21:36:08
a000000002,u000001,s00000001,2,clear,116,0,2026-08-28 21:38:25
a000000003,u000001,s00000002,3,fail,96,0,2026-08-28 21:15:29
a000000004,u000001,s00000002,3,fail,53,0,2026-08-28 21:17:13
a000000005,u000001,s00000002,3,fail,62,0,2026-08-28 21:18:49
a000000006,u000001,s00000002,3,clear,169,0,2026-08-28 21:19:50
a000000007,u000001,s00000002,4,clear,116,0,2026-08-28 21:20:47
a000000008,u000001,s00000003,5,clear,46,0,2026-08-29 06:00:34
a000000009,u000001,s00000003,6,clear,61,0,2026-08-29 06:01:52
a000000010,u000001,s00000003,7,clear,32,0,2026-08-29 06:04:08
a000000011,u000001,s00000003,8,clear,166,0,2026-08-29 06:05:42
a000000012,u000002,s00000004,1,clear,140,0,2026-08-23 22:25:36
a000000013,u000002,s00000004,2,clear,110,0,2026-08-23 22:27:14
a000000014,u000002,s00000004,3,fail,150,0,2026-08-23 22:28:40
a000000015,u000002,s00000004,3,clear,60,0,2026-08-23 22:30:15
a000000016,u000002,s00000004,4,fail,116,0,2026-08-23 22:31:59
a000000017,u000002,s00000004,4,clear,55,0,2026-08-23 22:34:18
a000000018,u000002,s00000004,5,clear,56,0,2026-08-23 22:36:31
a000000019,u000003,s00000005,1,clear,125,0,2026-09-01 11:55:56
a000000020,u000003,s00000005,2,fail,50,0,2026-09-01 11:58:25
a000000021,u000003,s00000006,2,clear,77,0,2026-09-01 22:38:56
a000000022,u000003,s00000006,3,clear,108,0,2026-09-01 22:40:11
a000000023,u000004,s00000007,1,clear,63,0,2026-08-15 08:11:50
a000000024,u000004,s00000007,2,clear,73,0,2026-08-15 08:12:43
a000000025,u000004,s00000007,3,clear,156,0,2026-08-15 08:13:50
a000000026,u000004,s00000007,4,clear,111,0,2026-08-15 08:15:30
a000000027,u000004,s00000007,5,fail,140,0,2026-08-15 08:16:41
a000000028,u000004,s00000007,5,clear,78,0,2026-08-15 08:18:21
a000000029,u000004,s00000007,6,clear,130,0,2026-08-15 08:20:52
a000000030,u000004,s00000008,7,clear,127,0,2026-08-15 16:05:21
