purchase_id,user_id,product_id,product_type,price_krw,ts,level_at_purchase
p0000001,u000006,continue_1,continue,1200,2026-08-30 20:24:51,5
p0000002,u000012,continue_1,continue,1200,2026-09-11 08:05:51,19
p0000003,u000055,continue_1,continue,1200,2026-08-24 09:25:45,52
p0000004,u000055,continue_1,continue,1200,2026-08-31 14:50:36,79
p0000005,u000055,continue_1,continue,1200,2026-09-02 14:13:22,88
p0000006,u000074,remove_ads,utility,11000,2026-09-05 23:27:28,16
p0000007,u000074,continue_1,continue,1200,2026-09-05 23:33:54,17
p0000008,u000107,continue_1,continue,1200,2026-08-22 09:43:34,22
p0000009,u000107,booster_5,booster,3300,2026-09-01 14:03:16,59
p0000010,u000107,booster_5,booster,3300,2026-09-04 09:32:35,62
p0000011,u000132,booster_5,booster,3300,2026-08-18 15:54:17,12
p0000012,u000189,coin_small,currency,5500,2026-09-11 10:10:44,42
p0000013,u000189,booster_5,booster,3300,2026-09-11 10:16:53,43
p0000014,u000252,booster_5,booster,3300,2026-09-03 08:16:48,30
p0000015,u000261,coin_small,currency,5500,2026-09-07 15:16:10,12
p0000016,u000334,coin_small,currency,5500,2026-09-03 21:50:35,70
p0000017,u000334,remove_ads,utility,11000,2026-09-04 13:27:59,72
p0000018,u000334,coin_small,currency,5500,2026-09-05 13:17:52,74
p0000019,u000334,coin_small,currency,5500,2026-09-06 13:53:44,76
p0000020,u000367,coin_small,currency,5500,2026-08-28 19:53:16,13
p0000021,u000404,coin_small,currency,5500,2026-08-26 08:22:04,28
p0000022,u000409,continue_1,continue,1200,2026-08-30 18:26:11,12
p0000023,u000414,booster_5,booster,3300,2026-08-20 12:45:15,16
p0000024,u000414,coin_small,currency,5500,2026-09-04 07:17:57,55
p0000025,u000437,continue_1,continue,1200,2026-08-30 03:01:57,10
p0000026,u000445,booster_5,booster,3300,2026-08-26 14:00:42,24
p0000027,u000445,continue_1,continue,1200,2026-09-07 15:44:17,73
p0000028,u000463,booster_5,booster,3300,2026-08-31 18:47:34,11
p0000029,u000488,coin_small,currency,5500,2026-09-10 06:35:35,46
p0000030,u000576,booster_5,booster,3300,2026-09-02 13:20:30,8
p0000031,u000581,continue_1,continue,1200,2026-08-28 16:18:03,39
p0000032,u000593,booster_5,booster,3300,2026-08-16 13:47:52,7
p0000033,u000597,booster_5,booster,3300,2026-08-26 23:53:06,38
p0000034,u000597,booster_5,booster,3300,2026-08-29 18:43:35,50
p0000035,u000599,continue_1,continue,1200,2026-09-06 08:39:37,31
p0000036,u000599,coin_large,currency,22000,2026-09-10 08:30:31,48
p0000037,u000599,coin_small,currency,5500,2026-09-11 16:09:01,53
p0000038,u000625,continue_1,continue,1200,2026-08-22 04:18:38,11
p0000039,u000625,booster_5,booster,3300,2026-08-25 22:39:58,30
p0000040,u000669,booster_5,booster,3300,2026-09-02 02:34:14,13
p0000041,u000685,coin_small,currency,5500,2026-09-04 21:38:57,29
p0000042,u000689,booster_5,booster,3300,2026-08-20 08:30:48,4
p0000043,u000701,coin_small,currency,5500,2026-08-24 17:33:25,3
p0000044,u000701,coin_large,currency,22000,2026-08-28 19:34:04,17
