user_id,install_date,platform,device_tier,country,acquisition_channel
u000001,2026-08-28,android,mid,KR,meta_ads
u000002,2026-08-23,android,mid,KR,tiktok_ads
u000003,2026-09-01,ios,mid,JP,meta_ads
u000004,2026-08-15,android,mid,KR,tiktok_ads
u000005,2026-09-01,ios,mid,KR,organic
u000006,2026-08-30,android,mid,JP,google_ads
u000007,2026-08-31,android,low,KR,organic
u000008,2026-08-16,ios,high,TW,organic
u000009,2026-08-20,android,low,KR,google_ads
u000010,2026-08-31,ios,mid,US,organic
u000011,2026-08-18,ios,low,KR,organic
u000012,2026-09-02,android,low,KR,organic
u000013,2026-08-15,ios,low,TW,organic
u000014,2026-09-05,android,high,KR,tiktok_ads
u000015,2026-08-31,ios,mid,KR,google_ads
u000016,2026-08-20,ios,mid,US,tiktok_ads
u000017,2026-08-20,ios,mid,KR,organic
u000018,2026-08-25,android,high,US,organic
u000019,2026-08-23,android,high,KR,meta_ads
u000020,2026-09-06,ios,mid,KR,organic
u000021,2026-08-15,android,mid,KR,organic
u000022,2026-09-02,android,low,KR,meta_ads
u000023,2026-08-28,ios,mid,US,google_ads
u000024,2026-08-22,ios,mid,KR,organic
u000025,2026-08-30,android,high,KR,organic
u000026,2026-08-20,ios,low,JP,cross_promo
u000027,2026-08-15,ios,low,TW,organic
u000028,2026-08-24,ios,high,KR,meta_ads
u000029,2026-08-16,android,mid,TW,google_ads
u000030,2026-08-21,ios,mid,JP,organic
u000031,2026-09-01,android,high,TW,google_ads
u000032,2026-09-06,ios,mid,US,organic
u000033,2026-08-31,android,high,KR,organic
u000034,2026-09-03,ios,mid,KR,organic
u000035,2026-08-28,android,high,OTHER,organic
u000036,2026-08-28,android,low,KR,google_ads
u000037,2026-09-05,android,mid,KR,tiktok_ads
u000038,2026-08-30,android,mid,US,organic
u000039,2026-09-03,ios,mid,KR,meta_ads
u000040,2026-09-04,android,mid,KR,google_ads
u000041,2026-08-24,android,mid,JP,organic
u000042,2026-08-29,ios,mid,KR,google_ads
u000043,2026-09-05,android,low,KR,meta_ads
u000044,2026-08-22,android,mid,KR,tiktok_ads
u000045,2026-09-04,android,mid,US,organic
u000046,2026-08-31,android,mid,KR,organic
u000047,2026-08-23,ios,mid,KR,google_ads
u000048,2026-08-15,android,mid,KR,organic
u000049,2026-08-31,ios,high,JP,cross_promo
u000050,2026-09-02,android,low,JP,meta_ads
u000051,2026-08-22,android,high,US,meta_ads
u000052,2026-09-02,ios,mid,JP,organic
u000053,2026-08-18,android,mid,US,google_ads
u000054,2026-08-21,android,mid,TW,tiktok_ads
u000055,2026-08-15,android,mid,KR,google_ads
u000056,2026-08-30,ios,high,KR,tiktok_ads
u000057,2026-08-30,android,mid,TW,tiktok_ads
u000058,2026-08-19,android,low,KR,tiktok_ads
u000059,2026-08-28,android,mid,KR,organic
u000060,2026-08-16,android,mid,KR,meta_ads
u000061,2026-08-28,android,mid,KR,organic
u000062,2026-08-30,ios,high,KR,organic
u000063,2026-09-06,ios,high,KR,cross_promo
u000064,2026-08-26,android,mid,KR,google_ads
u000065,2026-08-20,android,mid,KR,organic
u000066,2026-08-25,ios,mid,OTHER,google_ads
u000067,2026-09-05,android,low,KR,tiktok_ads
u000068,2026-09-03,ios,high,KR,google_ads
u000069,2026-08-29,android,low,KR,google_ads
u000070,2026-08-28,android,mid,JP,meta_ads
u000071,2026-09-01,ios,mid,KR,meta_ads
u000072,2026-09-03,android,mid,KR,organic
u000073,2026-08-24,ios,mid,KR,google_ads
u000074,2026-09-03,android,high,JP,organic
u000075,2026-08-19,android,mid,KR,meta_ads
u000076,2026-08-15,ios,high,JP,organic
u000077,2026-08-21,android,low,KR,google_ads
u000078,2026-09-06,ios,mid,TW,google_ads
u000079,2026-08-18,android,low,KR,organic
u000080,2026-08-27,android,low,JP,tiktok_ads
u000081,2026-08-27,ios,mid,US,organic
u000082,2026-09-04,android,high,US,cross_promo
u000083,2026-08-19,android,low,US,google_ads
u000084,2026-09-03,ios,low,OTHER,google_ads
u000085,2026-09-06,android,low,OTHER,google_ads
u000086,2026-08-23,ios,mid,TW,tiktok_ads
u000087,2026-08-28,ios,high,OTHER,organic
u000088,2026-08-30,android,low,TW,tiktok_ads
u000089,2026-08-19,android,mid,KR,organic
u000090,2026-09-05,android,high,US,tiktok_ads
u000091,2026-09-02,android,mid,KR,google_ads
u000092,2026-08-21,ios,mid,OTHER,organic
u000093,2026-08-29,ios,mid,JP,google_ads
u000094,2026-08-27,ios,high,KR,tiktok_ads
u000095,2026-08-26,android,mid,KR,organic
u000096,2026-09-06,ios,high,US,tiktok_ads
u000097,2026-09-01,ios,mid,KR,meta_ads
u000098,2026-08-24,android,mid,KR,organic
u000099,2026-08-24,android,mid,KR,meta_ads
u000100,2026-08-15,ios,mid,TW,google_ads
u000101,2026-08-17,android,low,KR,organic
u000102,2026-08-26,ios,low,US,meta_ads
u000103,2026-08-29,ios,high,KR,google_ads
u000104,2026-09-01,android,mid,OTHER,meta_ads
u000105,2026-08-23,android,low,TW,google_ads
u000106,2026-09-04,ios,mid,KR,organic
u000107,2026-08-18,ios,mid,OTHER,google_ads
u000108,2026-08-23,ios,low,KR,organic
u000109,2026-08-17,android,mid,OTHER,organic
u000110,2026-08-30,android,mid,KR,organic
u000111,2026-09-04,android,low,JP,google_ads
u000112,2026-08-25,android,low,TW,organic
u000113,2026-08-18,android,low,KR,google_ads
u000114,2026-08-16,android,low,OTHER,meta_ads
u000115,2026-09-02,android,mid,TW,cross_promo
u000116,2026-09-06,android,mid,KR,meta_ads
u000117,2026-08-20,android,low,KR,organic
u000118,2026-08-19,android,mid,KR,meta_ads
u000119,2026-08-24,ios,mid,JP,organic
u000120,2026-08-25,android,mid,US,organic
u000121,2026-08-18,android,mid,KR,meta_ads
u000122,2026-08-19,ios,mid,KR,meta_ads
u000123,2026-08-28,android,high,JP,meta_ads
u000124,2026-08-21,android,low,KR,google_ads
u000125,2026-08-25,ios,mid,KR,meta_ads
u000126,2026-09-06,ios,mid,US,google_ads
u000127,2026-09-05,android,mid,KR,tiktok_ads
u000128,2026-09-04,android,mid,JP,meta_ads
u000129,2026-08-15,android,mid,KR,meta_ads
u000130,2026-08-23,android,low,KR,organic
u000131,2026-08-24,android,high,TW,tiktok_ads
u000132,2026-08-17,android,high,KR,organic
u000133,2026-08-24,android,high,KR,meta_ads
u000134,2026-08-30,ios,mid,KR,meta_ads
